Familienavn,Vitenskapelig navn,Slekt - Norsk,Art - Norsk,Sjikt,bilde_url,wikipedia_url,bilde_status
Juncaceae,Juncus articulatus,Siv,Lyssiv,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/JuncusArticulatus.jpg/500px-JuncusArticulatus.jpg,https://en.wikipedia.org/wiki/Juncus_articulatus,FUNNET
Boraginaceae,Symphytum officinale,Løkurt,Løkurt,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Alliaria_petiolata_marais-belloy-sur-somme_80_26042007_3.jpg/500px-Alliaria_petiolata_marais-belloy-sur-somme_80_26042007_3.jpg,https://no.wikipedia.org/wiki/L%C3%B8kurt,FUNNET
Rosaceae,Alchemilla vulgaris,Marikåpe,Marikåpe,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Nordens_flora_Alchemilla_vulgaris.jpg/500px-Nordens_flora_Alchemilla_vulgaris.jpg,https://no.wikipedia.org/wiki/Marik%C3%A5peslekta,FUNNET
Rosaceae,Fragaria vesca,Jordbær,Markjordbær,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Fragaria_vesca_Norway_Hurum.jpg/500px-Fragaria_vesca_Norway_Hurum.jpg,https://no.wikipedia.org/wiki/Markjordb%C3%A6r,FUNNET
Amaranthaceae,Atriplex prostrata,Meldestokk,Meldestokk,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Melganzenvoet_bloeiwijze_Chenopodium_album.jpg/500px-Melganzenvoet_bloeiwijze_Chenopodium_album.jpg,https://no.wikipedia.org/wiki/Meldestokk,FUNNET
Rosaceae,Achillea millefolium,Mjødurt,Mjødurt,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Filipendula-ulmaria.JPG/500px-Filipendula-ulmaria.JPG,https://no.wikipedia.org/wiki/Mj%C3%B8durt,FUNNET
Onagraceae,Epilobium spp.,Mjølke,Mjølke,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Epilobium_hirsutum_04_ies.jpg/500px-Epilobium_hirsutum_04_ies.jpg,https://no.wikipedia.org/wiki/Mj%C3%B8lkeslekta,FUNNET
Rosaceae,Rubus chamaemorus,Molte,Molte,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Cloudberry_%283803708355%29.jpg/500px-Cloudberry_%283803708355%29.jpg,https://no.wikipedia.org/wiki/Molte,FUNNET
Nymphaeaceae,Nuphar lutea,Kongle,Myrkongle,Feltsjikt/vann,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Calla_palustris2.jpg/500px-Calla_palustris2.jpg,https://no.wikipedia.org/wiki/Myrkongle,FUNNET
Cyperaceae,Eriophorum angustifolium,Myrull,Myrull,Feltsjikt,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Cottongrass.jpg/500px-Cottongrass.jpg,https://no.wikipedia.org/wiki/Myrullslekta,FUNNET
