Norsk navn,Latinsk navn,Familie,Type,bilde_url,norskflora_url,bilde_status
Gjøksyre,Oxalis acetosella,Gjøkesyrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Oxalis&art=acetosella,https://bilder.norskflora.no/orig/IMG_1615.jpg,FUNNET,
Gran,Picea abies,Furufamilien,Tre/busk,https://norskflora.no/plante/?sle=Picea&art=abies,https://bilder.norskflora.no/orig/mentzii495.jpg,FUNNET,
Gressløk,Allium schoenoprasum,Løkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Allium&art=schoenoprasum,https://bilder.norskflora.no/orig/mentzii386.jpg,FUNNET,
Groblad,Plantago major,Maskeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Plantago&art=major,https://bilder.norskflora.no/orig/thome533.jpg,FUNNET,
Gråor,Alnus incana,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Alnus&art=incana,https://bilder.norskflora.no/orig/mentzii374.jpg,FUNNET,
Gråselje,Salix cinerea,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=cinerea,https://bilder.norskflora.no/orig/mentzii378.jpg,FUNNET,
Grønnmynte,Mentha spicata,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Mentha&art=spicata,https://bilder.norskflora.no/orig/thome513.jpg,FUNNET,
Grønnvier,Salix phylicifolia,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=phylicifolia,https://bilder.norskflora.no/orig/kops1438.jpg,FUNNET,
Gulgåseblom,Cota tinctoria,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Cota&art=tinctoria,https://bilder.norskflora.no/orig/mentzi13.jpg,FUNNET,
Gulldusk,Lysimachia thyrsiflora,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Lysimachia&art=thyrsiflora,https://bilder.norskflora.no/orig/mentziv584.jpg,FUNNET,
Gullris,Solidago virgaurea,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Solidago&art=virgaurea,https://bilder.norskflora.no/orig/mentzi32.jpg,FUNNET,
Gulmaure,Galium verum,Maurefamilien,Urt/staude,https://norskflora.no/plante/?sle=Galium&art=verum,https://bilder.norskflora.no/orig/mentzi70.jpg,FUNNET,
Gulstarr,Carex flava,Starrfamilien,Gressplante,https://norskflora.no/plante/?sle=Carex&art=flava,https://bilder.norskflora.no/orig/mentzii437.jpg,FUNNET,
Hagtorn,Crataegus monogyna,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Crataegus&art=monogyna,https://bilder.norskflora.no/orig/mentziv613.jpg,FUNNET,
Hanekam,Silene flos-cuculi,Nellikfamilien,Urt/staude,https://norskflora.no/plante/?sle=Silene&art=flos-cuculi,https://bilder.norskflora.no/orig/floradanica_0590.jpg,FUNNET,
Hassel,Corylus avellana,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Corylus&art=avellana,https://bilder.norskflora.no/orig/mentzii370.jpg,FUNNET,
Hegg,Prunus padus,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Prunus&art=padus,https://bilder.norskflora.no/orig/mentzii312.jpg,FUNNET,
Hengebjørk,Betula pendula,Bjørkefamilien,Tre/busk,https://norskflora.no/plante/?sle=Betula&art=pendula,https://bilder.norskflora.no/orig/mentzii371.jpg,FUNNET,
Hengeving,Phegopteris connectilis,Hengevingfamilien,Bregne,https://norskflora.no/plante/?sle=Phegopteris&art=connectilis,https://bilder.norskflora.no/orig/mentzii500.jpg,FUNNET,
Hestehov,Tussilago farfara,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Tussilago&art=farfara,https://bilder.norskflora.no/orig/mentzi23.jpg,FUNNET,
Hjertegress,Briza media,Gressfamilien,Gressplante,https://norskflora.no/plante/?sle=Briza&art=media,https://bilder.norskflora.no/orig/mentzii449.jpg,FUNNET,
Hjortetrøst,Eupatorium cannabinum,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Eupatorium&art=cannabinum,https://bilder.norskflora.no/orig/mentziv520.jpg,FUNNET,
Hjortetunge,Asplenium scolopendrium,Småburknefamilien,Bregne,https://norskflora.no/plante/?sle=Asplenium&art=scolopendrium,https://bilder.norskflora.no/orig/mentzii506.jpg,FUNNET,
Humle,Humulus lupulus,Hampefamilien,Urt/staude,https://norskflora.no/plante/?sle=Humulus&art=lupulus,https://bilder.norskflora.no/orig/mentzii365.jpg,FUNNET,
Hvitbergknapp,Sedum album,Bergknappfamilien,Urt/staude,https://norskflora.no/plante/?sle=Sedum&art=album,https://bilder.norskflora.no/orig/mentzii270.jpg,FUNNET,
Hvitkløver,Trifolium repens,Erteblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Trifolium&art=repens,https://bilder.norskflora.no/orig/floradanica_0990.jpg,FUNNET,
Hvitmaure,Galium boreale,Maurefamilien,Urt/staude,https://norskflora.no/plante/?sle=Galium&art=boreale,https://bilder.norskflora.no/orig/mentzi69.jpg,FUNNET,
Hvitpestrot,Petasites albus,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Petasites&art=albus,https://bilder.norskflora.no/orig/floradanica_0524.jpg,FUNNET,
Hvitvannlilje,Nymphaea alba,Vannliljefamilien,Urt/staude,https://norskflora.no/plante/?sle=Nymphaea&art=alba,https://bilder.norskflora.no/orig/mentzi181.jpg,FUNNET,
Hønsegress,Persicaria maculosa,Slireknefamilien,Urt/staude,https://norskflora.no/plante/?sle=Persicaria&art=maculosa,https://bilder.norskflora.no/orig/floradanica_0702.jpg,FUNNET,
Istervier,Salix pentandra,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=pentandra,https://bilder.norskflora.no/orig/mentzii380.jpg,FUNNET,
Jonsokkoll,Ajuga pyramidalis,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Ajuga&art=pyramidalis,https://bilder.norskflora.no/orig/mentzi103.jpg,FUNNET,
Junkersildre,Saxifraga paniculata,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=paniculata,https://bilder.norskflora.no/orig/floradanica_2352.jpg,FUNNET,
Kalmusrot,Acorus calamus,Kalmusrotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Acorus&art=calamus,https://bilder.norskflora.no/orig/mentzii421.jpg,FUNNET,
Kanelrose,Rosa majalis,Rosefamilien,Tre/busk,https://norskflora.no/plante/?sle=Rosa&art=majalis,https://bilder.norskflora.no/orig/mentzii293.jpg,FUNNET,
Kantkonvall,Polygonatum odoratum,Aspargesfamilien,Urt/staude,https://norskflora.no/plante/?sle=Polygonatum&art=odoratum,https://bilder.norskflora.no/orig/mentzii391.jpg,FUNNET,
Karve,Carum carvi,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Carum&art=carvi,https://bilder.norskflora.no/orig/mentzi261.jpg,FUNNET,
Kattefot,Antennaria dioica,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Antennaria&art=dioica,https://bilder.norskflora.no/orig/mentzi28.jpg,FUNNET,
Kattehale,Lythrum salicaria,Kattehalefamilien,Urt/staude,https://norskflora.no/plante/?sle=Lythrum&art=salicaria,https://bilder.norskflora.no/orig/mentzii339.jpg,FUNNET,
Kjertelhønsegress,Persicaria lapathifolia,Slireknefamilien,Urt/staude,https://norskflora.no/plante/?sle=Persicaria&art=lapathifolia,https://bilder.norskflora.no/orig/floradanica_2648.jpg,FUNNET,
Klokkevintergrønn,Pyrola media,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Pyrola&art=media,https://bilder.norskflora.no/orig/floradanica_0110.jpg,FUNNET,
Klåved,Myricaria germanica,Tamariskfamilien,Tre/busk,https://norskflora.no/plante/?sle=Myricaria&art=germanica,https://bilder.norskflora.no/orig/mentzi232.jpg,FUNNET,
Knollmjødurt,Filipendula vulgaris,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Filipendula&art=vulgaris,https://bilder.norskflora.no/orig/mentzii289.jpg,FUNNET,
Kongsbregne,Osmunda regalis,Kongsbregnefamilien,Bregne,https://norskflora.no/plante/?sle=Osmunda&art=regalis,https://bilder.norskflora.no/orig/mentzii509.jpg,FUNNET,
Korsknapp,Glechoma hederacea,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Glechoma&art=hederacea,https://bilder.norskflora.no/orig/mentzi93.jpg,FUNNET,
Korsved,Viburnum opulus,Moskusurtfamilien,Tre/busk,https://norskflora.no/plante/?sle=Viburnum&art=opulus,https://bilder.norskflora.no/orig/IMG_8876.jpg,FUNNET,
Kratthumleblom,Geum urbanum,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Geum&art=urbanum,https://bilder.norskflora.no/orig/mentzii303.jpg,FUNNET,
Krekling,Empetrum nigrum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Empetrum&art=nigrum,https://bilder.norskflora.no/orig/mentzi241.jpg,FUNNET,
Kristtorn,Ilex aquifolium,Kristtornfamilien,Tre/busk,https://norskflora.no/plante/?sle=Ilex&art=aquifolium,https://bilder.norskflora.no/orig/mentziv603.jpg,FUNNET,
Krypjonsokkoll,Ajuga reptans,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Ajuga&art=reptans,https://bilder.norskflora.no/orig/mentziv576.jpg,FUNNET,
Krypvier,Salix repens,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=repens,https://bilder.norskflora.no/orig/floradanica_2489.jpg,FUNNET,
Kubjelle,Pulsatilla pratensis,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Pulsatilla&art=pratensis,https://bilder.norskflora.no/orig/mentziv595.jpg,FUNNET,
Kusymre,Primula vulgaris,Nøkleblomfamilien,Urt/staude,https://norskflora.no/plante/?sle=Primula&art=vulgaris,https://bilder.norskflora.no/orig/mentziv582.jpg,FUNNET,
Kvann,Angelica archangelica,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Angelica&art=archangelica,https://bilder.norskflora.no/orig/floradanica_2407.jpg,FUNNET,
Kvass-starr,Carex acuta,Starrfamilien,Gressplante,https://norskflora.no/plante/?sle=Carex&art=acuta,https://bilder.norskflora.no/orig/mentzii440.jpg,FUNNET,
Kvassdå,Galeopsis tetrahit,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Galeopsis&art=tetrahit,https://bilder.norskflora.no/orig/floradanica_1271.jpg,FUNNET,
Kystbjørnekjeks,Heracleum sphondylium,Skjermplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Heracleum&art=sphondylium,https://bilder.norskflora.no/orig/mentzi251.jpg,FUNNET,
Kystfrøstjerne,Thalictrum minus,Soleiefamilien,Urt/staude,https://norskflora.no/plante/?sle=Thalictrum&art=minus,https://bilder.norskflora.no/orig/floradanica_0732.jpg,FUNNET,
Lapprose,Rhododendron lapponicum,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Rhododendron&art=lapponicum,https://bilder.norskflora.no/orig/mentzi150.jpg,FUNNET,
