norsk_navn,latinsk_navn,familie,type,norskflora_url,wikipedia_url,wikipedia_image_url,wikipedia_image_file,wikipedia_status
Molte,Rubus chamaemorus,Rosefamilien,Urt/staude,https://norskflora.no/plante/?sle=Rubus&art=chamaemorus,https://en.wikipedia.org/wiki/Rubus_chamaemorus,https://upload.wikimedia.org/wikipedia/commons/2/20/Rubus_chamaemorus%2C_from_Troms%C3%B8%2C_August_2020.jpeg,,FUNNET
Mosesildre,Saxifraga hypnoides,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=hypnoides,https://en.wikipedia.org/wiki/Saxifraga,https://upload.wikimedia.org/wikipedia/commons/6/66/Saxifraga_cochlearis1.jpg,,FUNNET
Myrkongle,Calla palustris,Myrkonglefamilien,Urt/staude,https://norskflora.no/plante/?sle=Calla&art=palustris,https://en.wikipedia.org/wiki/Calla,https://upload.wikimedia.org/wikipedia/commons/9/9b/Calla_palustris2.jpg,,FUNNET
Myrsildre,Saxifraga hirculus,Sildrefamilien,Urt/staude,https://norskflora.no/plante/?sle=Saxifraga&art=hirculus,https://en.wikipedia.org/wiki/Saxifraga_hirculus,https://upload.wikimedia.org/wikipedia/commons/0/05/Skaftafell_-_Gelbe_Bl%C3%BCten.jpg,,FUNNET
Myrtevier,Salix myrsinites,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=myrsinites,https://en.wikipedia.org/wiki/Salix_myrsinites,https://upload.wikimedia.org/wikipedia/commons/8/8c/Salix_myrsinites_Kiiminki%2C_Finland_25.06.2013.jpg,,FUNNET
Myske,Galium odoratum,Maurefamilien,Urt/staude,https://norskflora.no/plante/?sle=Galium&art=odoratum,https://en.wikipedia.org/wiki/Galium_odoratum,https://upload.wikimedia.org/wikipedia/commons/3/32/Waldmeister%28Mai%29.JPG,,FUNNET
Mørkkongslys,Verbascum nigrum,Brunrotfamilien,Urt/staude,https://norskflora.no/plante/?sle=Verbascum&art=nigrum,https://en.wikipedia.org/wiki/Verbascum_nigrum,https://upload.wikimedia.org/wikipedia/commons/6/6a/Verbascum_nigrum_02.jpg,,FUNNET
Nikkebrønsle,Bidens cernua,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Bidens&art=cernua,https://en.wikipedia.org/wiki/Bidens_cernua,https://upload.wikimedia.org/wikipedia/commons/a/a7/Bidens_cernua.jpeg,,FUNNET
Norsktimian,Thymus praecox ssp britannicus,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Thymus&art=praecox,https://en.wikipedia.org/wiki/Thymus_praecox,https://upload.wikimedia.org/wikipedia/commons/2/20/Thymus_praecox.JPG,,FUNNET
Nyserot,Veratrum album,Giftliljefamilien,Urt/staude,https://norskflora.no/plante/?sle=Veratrum&art=album,https://en.wikipedia.org/wiki/Veratrum_album,https://upload.wikimedia.org/wikipedia/commons/9/97/Veratrum_album_Aubrac.JPG,,FUNNET
Nyseryllik,Achillea ptarmica,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Achillea&art=ptarmica,https://en.wikipedia.org/wiki/Achillea_ptarmica,https://upload.wikimedia.org/wikipedia/commons/9/96/Achillea_ptarmica_-_v%C3%B5sa-raudrohi.jpg,,FUNNET
Oksetunge,Anchusa officinalis,Rubladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Anchusa&art=officinalis,https://en.wikipedia.org/wiki/Anchusa_officinalis,https://upload.wikimedia.org/wikipedia/commons/6/6e/Anchusa_officinalis_kz06.jpg,,FUNNET
Olavsstake,Moneses uniflora,Lyngfamilien,Lyngplante,https://norskflora.no/plante/?sle=Moneses&art=uniflora,https://en.wikipedia.org/wiki/Moneses,https://upload.wikimedia.org/wikipedia/commons/f/fd/Moneses_uniflora_1437.JPG,,FUNNET
Oregano,Origanum vulgare,Leppeblomstfamilien,Urt/staude,https://norskflora.no/plante/?sle=Origanum&art=vulgare,https://en.wikipedia.org/wiki/Oregano,https://upload.wikimedia.org/wikipedia/commons/1/14/Origanum_vulgare_-_harilik_pune.jpg,,FUNNET
Ormehode,Echium vulgare,Rubladfamilien,Urt/staude,https://norskflora.no/plante/?sle=Echium&art=vulgare,https://en.wikipedia.org/wiki/Echium_vulgare,https://upload.wikimedia.org/wikipedia/commons/d/d4/Echium_vulgare_L.jpg,,FUNNET
Ormetelg,Dryopteris filix-mas,Stortelgfamilien,Bregne,https://norskflora.no/plante/?sle=Dryopteris&art=filix-mas,https://en.wikipedia.org/wiki/Dryopteris_filix-mas,https://upload.wikimedia.org/wikipedia/commons/4/40/Dryopteris_filix_mas_nf.jpg,,FUNNET
Pilblad,Sagittaria sagittifolia,Vassgrofamilien,Urt/staude,https://norskflora.no/plante/?sle=Sagittaria&art=sagittifolia,https://en.wikipedia.org/wiki/Sagittaria_sagittifolia,https://upload.wikimedia.org/wikipedia/commons/8/81/SagittariaSagittifoliaInflorescence2.jpg,,FUNNET
Polarvier,Salix polaris,Vierfamilien,Tre/busk,https://norskflora.no/plante/?sle=Salix&art=polaris,https://en.wikipedia.org/wiki/Salix_polaris,https://upload.wikimedia.org/wikipedia/commons/1/1f/Polarwillow1.jpg,,FUNNET
Pors,Myrica gale,Porsfamilien,Tre/busk,https://norskflora.no/plante/?sle=Myrica&art=gale,https://en.wikipedia.org/wiki/Myrica_gale,https://upload.wikimedia.org/wikipedia/commons/b/ba/Myrica-gale-hunlig.JPG,,FUNNET
Prestekrage,Leucanthemum vulgare,Kurvplantefamilien,Urt/staude,https://norskflora.no/plante/?sle=Leucanthemum&art=vulgare,https://en.wikipedia.org/wiki/Leucanthemum_vulgare,https://upload.wikimedia.org/wikipedia/commons/e/e7/Leucanthemum_vulgare_%27Filigran%27_Flower_2200px.jpg,,FUNNET
Prikkperikum,Hypericum perforatum,Perikumfamilien,Urt/staude,https://norskflora.no/plante/?sle=Hypericum&art=perforatum,https://en.wikipedia.org/wiki/Hypericum_perforatum,https://upload.wikimedia.org/wikipedia/commons/c/cf/%28MHNT%29_Hypericum_perforatum_flower_and_buttons.jpg,,FUNNET
Ramsløk,Allium ursinum,Løkfamilien,Urt/staude,https://norskflora.no/plante/?sle=Allium&art=ursinum,https://en.wikipedia.org/wiki/Allium_ursinum,https://upload.wikimedia.org/wikipedia/commons/4/45/Photo_of_Allium_Ursinum%2C_wild_garlic%2C_north-west_Hampshire%2C_UK%2C_May_2014.jpg,,FUNNET
